    i,  t(s),    U(V),   I(mA), Tself, Tprob
  285,   543,  0.2789, -0.0009,  20.6, 154.6
  286,   543,  0.3029, -0.0009,  20.6, 166.3
  287,   544,  0.3265, -0.0009,  20.7, 178.0
  288,   544,  0.3452, -0.0009,  20.7, 187.1
  289,   544,  0.3547, -0.0009,  20.7, 191.8
  290,   545,  0.3598, -0.0009,  20.6, 194.3
  291,   545,  0.3641, -0.0009,  20.6, 196.4
  292,   545,  0.3687, -0.0009,  20.6, 198.6
  293,   546,  0.3728, -0.0009,  20.6, 200.7
  294,   546,  0.3849, -0.0009,  20.6, 206.6
  295,   546,  0.3751, -0.0009,  20.6, 201.8
  296,   547,  0.3451, -0.0009,  20.6, 187.0
  297,   547,  0.3187, -0.0009,  20.6, 174.1
  298,   547,  0.2979, -0.0009,  20.6, 163.9
  299,   548,  0.2804, -0.0009,  20.6, 155.4
  300,   548,  0.2638, -0.0009,  20.6, 147.3
  301,   548,  0.2515, -0.0009,  20.6, 141.4
  302,   549,  0.2521, -0.0009,  20.6, 141.7
  303,   549,  0.2583, -0.0009,  20.6, 144.7
  304,   549,  0.2431, -0.0009,  20.6, 137.4
  305,   550,  0.2252, -0.0009,  20.6, 128.8
  306,   550,  0.2094, -0.0009,  20.6, 121.3
  307,   550,  0.1966, -0.0012,  20.6, 115.2
  308,   551,  0.1851, -0.0012,  20.6, 109.7
  309,   551,  0.1742, -0.0012,  20.6, 104.6
  310,   551,  0.1651, -0.0012,  20.6, 100.2
  311,   552,  0.1567, -0.0009,  20.6,  96.2
  312,   552,  0.1487, -0.0009,  20.6,  92.5
  313,   552,  0.1425, -0.0009,  20.6,  89.5
  314,   553,  0.1365, -0.0009,  20.6,  86.6
  315,   553,  0.1300, -0.0009,  20.6,  83.6
  316,   553,  0.1237, -0.0009,  20.6,  80.6
  317,   554,  0.1172, -0.0009,  20.6,  77.5
  318,   554,  0.1116, -0.0009,  20.6,  74.8
  319,   554,  0.1073, -0.0009,  20.6,  72.8
  320,   555,  0.1035, -0.0009,  20.6,  70.9
  321,   555,  0.0998, -0.0009,  20.6,  69.2
  322,   555,  0.1002, -0.0009,  20.6,  69.4
  323,   556,  0.1115, -0.0009,  20.6,  74.8
  324,   556,  0.2364, -0.0009,  20.6, 134.2
  325,   556,  0.3059, -0.0009,  20.6, 167.8
  326,   557,  0.2625, -0.0012,  20.6, 146.7
  327,   557,  0.2895, -0.0012,  20.6, 159.8
  328,   557,  0.3564, -0.0012,  20.6, 192.6
  329,   558,  0.3975, -0.0012,  20.6, 212.9
  330,   558,  0.3854, -0.0012,  20.6, 206.9
  331,   558,  0.4096, -0.0012,  20.6, 218.8
  332,   559,  0.4464, -0.0012,  20.6, 236.9
  333,   559,  0.4657, -0.0012,  20.6, 246.4
  334,   559,  0.4592, -0.0009,  20.6, 243.2
  335,   560,  0.4549, -0.0009,  20.6, 241.1
  336,   560,  0.4567, -0.0009,  20.6, 242.0
  337,   560,  0.4560, -0.0009,  20.6, 241.7
  338,   561,  0.4551, -0.0009,  20.6, 241.2
  339,   561,  0.4494, -0.0009,  20.6, 238.4
  340,   561,  0.4434, -0.0009,  20.6, 235.5
  341,   562,  0.4389, -0.0009,  20.6, 233.2
  342,   562,  0.4342, -0.0009,  20.6, 230.9
  343,   562,  0.4284, -0.0009,  20.6, 228.1
  344,   563,  0.4210, -0.0009,  20.6, 224.5
  345,   563,  0.4147, -0.0009,  20.6, 221.3
  346,   563,  0.4105, -0.0009,  20.6, 219.3
  347,   564,  0.4098, -0.0009,  20.6, 218.9
  348,   564,  0.4095, -0.0009,  20.6, 218.8
  349,   564,  0.4101, -0.0009,  20.6, 219.1
  350,   565,  0.4125, -0.0009,  20.6, 220.2
  351,   565,  0.4337, -0.0009,  20.6, 230.7
  352,   565,  0.4627, -0.0009,  20.6, 244.9
  353,   566,  0.4643, -0.0009,  20.6, 245.7
  354,   566,  0.4668, -0.0012,  20.6, 246.9
  355,   566,  0.4639, -0.0012,  20.6, 245.5
  356,   567,  0.4591, -0.0012,  20.6, 243.1
  357,   567,  0.4584, -0.0012,  20.6, 242.8
  358,   567,  0.4585, -0.0009,  20.6, 242.9
  359,   568,  0.4584, -0.0009,  20.6, 242.8
  360,   568,  0.4594, -0.0009,  20.6, 243.3
  361,   568,  0.4606, -0.0009,  20.6, 243.9
  362,   569,  0.4627, -0.0009,  20.6, 244.9
  363,   569,  0.4661, -0.0009,  20.6, 246.6
  364,   569,  0.4711, -0.0009,  20.6, 249.0
  365,   570,  0.4750, -0.0009,  20.6, 250.9
  366,   570,  0.4766, -0.0009,  20.6, 251.7
  367,   570,  0.4548, -0.0009,  20.6, 241.1
  368,   571,  0.4641, -0.0009,  20.6, 245.6
  369,   571,  0.4933, -0.0009,  20.6, 259.8
