X,CH1,CH2,
Second,Volt,Volt,
6.92020e-02,0.00e+00,0.00e+00,
6.96020e-02,0.00e+00,0.00e+00,
7.00020e-02,7.99e-02,7.99e-02,
7.04020e-02,0.00e+00,0.00e+00,
7.08020e-02,7.99e-02,7.99e-02,
7.12020e-02,7.99e-02,7.99e-02,
7.16019e-02,0.00e+00,0.00e+00,
7.20019e-02,7.99e-02,0.00e+00,
7.24020e-02,0.00e+00,7.99e-02,
7.28020e-02,7.99e-02,0.00e+00,
7.32020e-02,0.00e+00,7.99e-02,
7.36020e-02,7.99e-02,0.00e+00,
7.40020e-02,0.00e+00,7.99e-02,
7.44020e-02,0.00e+00,0.00e+00,
7.48020e-02,7.99e-02,7.99e-02,
7.52020e-02,7.99e-02,0.00e+00,
7.56020e-02,0.00e+00,0.00e+00,
7.60019e-02,0.00e+00,0.00e+00,
7.64019e-02,7.99e-02,7.99e-02,
7.68020e-02,0.00e+00,0.00e+00,
7.72020e-02,7.99e-02,7.99e-02,
7.76020e-02,7.99e-02,0.00e+00,
7.80020e-02,0.00e+00,0.00e+00,
7.84020e-02,0.00e+00,0.00e+00,
7.88020e-02,7.99e-02,7.99e-02,
7.92020e-02,0.00e+00,0.00e+00,
7.96020e-02,7.99e-02,7.99e-02,
8.00020e-02,7.99e-02,7.99e-02,
8.04019e-02,0.00e+00,0.00e+00,
8.08019e-02,7.99e-02,7.99e-02,
8.12019e-02,0.00e+00,0.00e+00,
8.16020e-02,0.00e+00,0.00e+00,
8.20020e-02,7.99e-02,0.00e+00,
8.24020e-02,7.99e-02,0.00e+00,
8.28020e-02,0.00e+00,0.00e+00,
8.32020e-02,0.00e+00,7.99e-02,
8.36020e-02,7.99e-02,0.00e+00,
8.40020e-02,0.00e+00,0.00e+00,
8.44020e-02,7.99e-02,7.99e-02,
8.48019e-02,0.00e+00,0.00e+00,
8.52019e-02,7.99e-02,0.00e+00,
8.56019e-02,7.99e-02,0.00e+00,
8.60019e-02,0.00e+00,0.00e+00,
8.64020e-02,0.00e+00,0.00e+00,
8.68020e-02,7.99e-02,7.99e-02,
8.72020e-02,0.00e+00,0.00e+00,
8.76020e-02,7.99e-02,7.99e-02,
8.80020e-02,0.00e+00,0.00e+00,
8.84020e-02,0.00e+00,0.00e+00,
8.88020e-02,0.00e+00,0.00e+00,
8.92019e-02,7.99e-02,0.00e+00,
8.96019e-02,0.00e+00,0.00e+00,
9.00019e-02,7.99e-02,7.99e-02,
9.04019e-02,0.00e+00,0.00e+00,
9.08020e-02,7.99e-02,7.99e-02,
9.12020e-02,7.99e-02,7.99e-02,
9.16020e-02,0.00e+00,0.00e+00,
9.20020e-02,0.00e+00,0.00e+00,
9.24020e-02,7.99e-02,0.00e+00,
9.28020e-02,0.00e+00,0.00e+00,
9.32020e-02,7.99e-02,0.00e+00,
9.36019e-02,0.00e+00,0.00e+00,
9.40019e-02,7.99e-02,7.99e-02,
9.44019e-02,0.00e+00,0.00e+00,
9.48019e-02,0.00e+00,7.99e-02,
